Entity,Code,Year,"Corn, area harvested (hectares)",Corn production (tonnes)
United States,USA,1866,12147459.66,18270350
United States,USA,1867,12996895.58,19847625
United States,USA,1868,14210953.58,22989750
United States,USA,1869,,19552100
United States,USA,1870,15535086.17,28119375
United States,USA,1871,16997621.37,28542875
United States,USA,1872,17637834.62,31984225
United States,USA,1873,17840177.62,25208150
United States,USA,1874,19279241.04,26469450
United States,USA,1875,21224161.96,36256900
United States,USA,1876,22369828.02,36954325
United States,USA,1877,23795132.11,37896550
United States,USA,1878,24143162.07,39113425
United States,USA,1879,25239861.13,43799600
United States,USA,1880,25311085.87,42666825
United States,USA,1881,25505739.84,31120075
United States,USA,1882,26772811.7,43881800
United States,USA,1883,27586635.25,41303700
United States,USA,1884,27856156.12,48695950
United States,USA,1885,29078307.84,51445175
United States,USA,1886,29910746.95,44569175
United States,USA,1887,29661865.06,40113725
United States,USA,1888,31352643.16,56265800
United States,USA,1889,31426296.02,57357225
United States,USA,1890,30264442.51,41261150
United States,USA,1891,31911514.53,58395100
United States,USA,1892,36047000.76,47435300
United States,USA,1893,36407575.99,47510025
United States,USA,1894,35524955.82,40375400
United States,USA,1895,38279653.43,63369050
United States,USA,1896,38410367,66776200
United States,USA,1897,38385276.47,57190700
United States,USA,1898,38211261.49,58783075
United States,USA,1899,39326171.42,66144900
United States,USA,1900,37860398.73,66549450
United States,USA,1901,38537438.41,42893800
United States,USA,1902,38747065.76,69348850
United States,USA,1903,38697694.06,62877325
United States,USA,1904,38887896.48,67165600
United States,USA,1905,38560505.51,73853700
United States,USA,1906,40549537.2,75822750
United States,USA,1907,39814222.74,65344925
United States,USA,1908,41386023.16,64168550
United States,USA,1909,41032327.6,65278925
United States,USA,1910,41055799.39,71319850
United States,USA,1911,40551965.32,61865875
United States,USA,1912,39576672.06,73696050
United States,USA,1913,40720719.38,56813500
United States,USA,1914,40695628.85,63093750
United States,USA,1915,44876844.6,70726100
United States,USA,1916,41356885.77,60630150
United States,USA,1917,39717907.47,72706050
United States,USA,1918,,61031225
United States,USA,1919,41018568.27,58546750
United States,USA,1920,41745384.33,67377125
United States,USA,1921,40608216.67,63923100
United States,USA,1922,40923062.38,55737400
United States,USA,1923,40638568.12,60738775
United States,USA,1924,39821911.77,46502800
United States,USA,1925,41007237.07,59557200
United States,USA,1926,40331006.76,53505175
United States,USA,1927,39845383.56,55454725
United States,USA,1928,40630069.71,56524750
United States,USA,1929,40116523.18,53375950
United States,USA,1930,42052945.69,43932425
United States,USA,1931,44258079.7,55747575
United States,USA,1932,45739230.46,64467125
United States,USA,1933,44446663.38,52618125
United States,USA,1934,40696438.22,28668350
United States,USA,1935,40458078.16,50034175
United States,USA,1936,41261379.87,31466825
United States,USA,1937,39324957.36,58735625
United States,USA,1938,38231900.48,57502375
United States,USA,1939,37085020.35,58540050
United States,USA,1940,35892410.71,55172050
United States,USA,1941,35141718.18,60361125
United States,USA,1942,35943401.15,70045475
United States,USA,1943,38178481.93,66712250
United States,USA,1944,38637395.85,70040300
United States,USA,1945,36122677.05,64436225
United States,USA,1946,35975776.03,72902225
United States,USA,1947,34413688.07,52708000
United States,USA,1948,34609556.09,82675950
United States,USA,1949,35101654.27,73655150
United States,USA,1950,33531877.27,69101775
United States,USA,1951,33700226.65,65723425
United States,USA,1952,33277329.78,74519825
United States,USA,1953,33011855.76,72045025
United States,USA,1954,33259118.91,67697825
United States,USA,1955,32752047.35,71823975
United States,USA,1956,31495902.01,76883400
United States,USA,1957,29614921.48,76133875
United States,USA,1958,29684122.79,83905125
United States,USA,1959,33484529.01,95614950
United States,USA,1960,32951557.55,97673725
United States,USA,1961,26676496.43,89945075
United States,USA,1962,26311469.66,90157775
United States,USA,1963,27830660.91,100480950
United States,USA,1964,26637646.58,87106325
United States,USA,1965,26373791.31,102571675
United States,USA,1966,26849702.04,104190200
United States,USA,1967,28795837.02,121509300
United States,USA,1968,26355580.44,111238550
United States,USA,1969,26006741.1,117176425
United States,USA,1970,27058520.02,103806075
United States,USA,1971,30019202.79,141156500
United States,USA,1972,27164952.44,139495800
United States,USA,1973,29239777.56,141767800
United States,USA,1974,31539203.41,117535050
United States,USA,1975,31856477.23,146018925
United States,USA,1976,34231579.37,157229225
United States,USA,1977,34126361.01,162626025
United States,USA,1978,33052729.05,181698175
United States,USA,1979,32939012.28,198203475
United States,USA,1980,34011025.5,165984900
United States,USA,1981,34032878.54,202966250
United States,USA,1982,33126381.9,205877525
United States,USA,1983,24364930,104356275
United States,USA,1984,32584102.66,191803250
United States,USA,1985,33750003.03,221886325
United States,USA,1986,30990853.88,205644100
United States,USA,1987,26790213.2,178282500
United States,USA,1988,27404121.86,123217025
United States,USA,1989,29267700.89,188298825
United States,USA,1990,30013941.88,198350700
United States,USA,1991,30738734.5,186869125
United States,USA,1992,32096051.35,236917450
United States,USA,1993,29638797.95,158443250
United States,USA,1994,31938223.81,251263000
United States,USA,1995,28926550.59,185001275
United States,USA,1996,32062867.09,230813925
United States,USA,1997,32187510.38,230170800
United States,USA,1998,32441653.19,243967125
United States,USA,1999,31317030.8,235765300
United States,USA,2000,32193175.99,247876275
United States,USA,2001,30635539.57,237564500
United States,USA,2002,31927297.28,224169675
United States,USA,2003,31809533.66,252182300
United States,USA,2004,32750833.29,295139525
United States,USA,2005,33094816.39,277804675
United States,USA,2006,31697840.32,263278075
United States,USA,2007,37849067.52,325946875
United States,USA,2008,34795711.65,301080075
United States,USA,2009,34957586.05,326678900
United States,USA,2010,35690067.71,310633250
United States,USA,2011,37205212.1,307848900
United States,USA,2012,39372305.63,268877775
United States,USA,2013,38592880.39,345767600
United States,USA,2014,36663337.54,355432300
United States,USA,2015,35620057.03,340049100
United States,USA,2016,38042102.74,378700950
United States,USA,2017,36489322.56,369335085.8
United States,USA,2018,35964849.51,358509225
United States,USA,2019,36318545.07,340498200
United States,USA,2020,36685595.27,352786225
United States,USA,2021,37780270.9,377879250